status,site_name,street,zip_code,city,country,country_code,latitude,longitude,operator,verified_for_trucks,green_certified,lots_partner,restrooms,food,wifi,card_terminal,truck_parking,showers,truck_wash,google_maps_url,date_when_added_to_list,source,comments,accuracy_score,identification_document
200,SIM REDE DE POSTOS LTDA,"RODOVIA ERS-130,  2285",95912000,LAJEADO,Brazil,BR,-29.448861,-51.975311,CHARRUA,false,,false,,,,,,,,https://www.google.com/maps?q=SIM%20REDE%20DE%20POSTOS%20LTDA%20RODOVIA%20ERS-130%2C%20%202285%20LAJEADO%20RS,2025-10-29,ANP API v1,,86.0,07473735018714
200,COMERCIAL BUFFON COMBUSTIVEIS E TRANSPORTES LIMITADA," BR-116   KM-286,  S/N",92990000,ELDORADO DO SUL,Brazil,BR,-15.796119,-47.888252,IPIRANGA,false,,false,,,,,,,,https://www.google.com/maps?q=COMERCIAL%20BUFFON%20COMBUSTIVEIS%20E%20TRANSPORTES%20LIMITADA%20%20BR-116%20%20%20KM-286%2C%20%20S%2FN%20ELDORADO%20DO%20SUL%20RS,2025-10-29,ANP API v1,,86.0,93489243000540
200,CEMOPEL CM PETROLEO LTDA,"RODOVIA BR 101 SUL,  2220",54505000,CABO DE SANTO AGOSTINHO,Brazil,BR,-8.235254,-34.980604,RAIZEN,false,,false,,,,,,,,https://www.google.com/maps?q=CEMOPEL%20CM%20PETROLEO%20LTDA%20RODOVIA%20BR%20101%20SUL%2C%20%202220%20CABO%20DE%20SANTO%20AGOSTINHO%20PE,2025-10-29,ANP API v1,,86.0,69943686000584
200,COMERCIAL SULINA DE DERIVADOS DE PETROLEO LTDA,"RODOVIA BR 116 KM 252,  1826",93210000,SAPUCAIA DO SUL,Brazil,BR,-22.361946,-42.941554,RAIZEN,false,,false,,,,,,,,https://www.google.com/maps?q=COMERCIAL%20SULINA%20DE%20DERIVADOS%20DE%20PETROLEO%20LTDA%20RODOVIA%20BR%20116%20KM%20252%2C%20%201826%20SAPUCAIA%20DO%20SUL%20RS,2025-10-29,ANP API v1,,86.0,88181615000102
200,POSTO PINHEIRINHO DE RESENDE LTDA,"RODOVIA PRESIDENTE DUTRA,  2300",27537000,RESENDE,Brazil,BR,-22.808266,-43.338541,IPIRANGA,false,,false,,,,,,,,https://www.google.com/maps?q=POSTO%20PINHEIRINHO%20DE%20RESENDE%20LTDA%20RODOVIA%20PRESIDENTE%20DUTRA%2C%20%202300%20RESENDE%20RJ,2025-10-29,ANP API v1,,86.0,00854639000134
200,POSTO BANDEIRA BRANCA COMERCIO DE COMBUSTIVEIS LTDA,"RODOVIA BR-222 KM 19, S/N,  23000",61616992,CAUCAIA,Brazil,BR,-4.319637,-47.805819,IPIRANGA,false,,false,,,,,,,,https://www.google.com/maps?q=POSTO%20BANDEIRA%20BRANCA%20COMERCIO%20DE%20COMBUSTIVEIS%20LTDA%20RODOVIA%20BR-222%20KM%2019%2C%20S%2FN%2C%20%2023000%20CAUCAIA%20CE,2025-10-29,ANP API v1,,86.0,05613385000186
200,COMERCIAL BUFFON COMBUSTIVEIS E TRANSPORTES LIMITADA,"RODOVIA BR 116 KM 289,  SN",92990000,ELDORADO DO SUL,Brazil,BR,-22.362054,-42.941615,IPIRANGA,false,,false,,,,,,,,https://www.google.com/maps?q=COMERCIAL%20BUFFON%20COMBUSTIVEIS%20E%20TRANSPORTES%20LIMITADA%20RODOVIA%20BR%20116%20KM%20289%2C%20%20SN%20ELDORADO%20DO%20SUL%20RS,2025-10-29,ANP API v1,,84.0,93489243000620
200,J. PACHECO E FILHOS LTDA," RS 401 KM 16,  SN",96745000,CHARQUEADAS,Brazil,BR,-29.01417,-53.734236,BANDEIRA BRANCA,false,,false,,,,,,,,https://www.google.com/maps?q=J.%20PACHECO%20E%20FILHOS%20LTDA%20%20RS%20401%20KM%2016%2C%20%20SN%20CHARQUEADAS%20RS,2025-10-29,ANP API v1,,84.0,93648517000172
200,AUTO POSTO RINCAO LTDA,"RODOVIA BR 101, KM 381,  919",88820000,ICARA,Brazil,BR,-8.22748,-36.361136,IPIRANGA,false,,false,,,,,,,,https://www.google.com/maps?q=AUTO%20POSTO%20RINCAO%20LTDA%20RODOVIA%20BR%20101%2C%20KM%20381%2C%20%20919%20ICARA%20SC,2025-10-29,ANP API v1,,83.0,79930681000147
200,AUTO POSTO CABECUDAS LTDA,"RODOVIA BR 101,  SN",88790000,LAGUNA,Brazil,BR,-8.22748,-36.361136,IPIRANGA,false,,false,,,,,,,,https://www.google.com/maps?q=AUTO%20POSTO%20CABECUDAS%20LTDA%20RODOVIA%20BR%20101%2C%20%20SN%20LAGUNA%20SC,2025-10-29,ANP API v1,,82.0,82540576000106
